undermining	disobey
damned	people
wig	hairpiece
peanut	pod
dies	cube
win	victory
fluids	substance
soccer	football
butter	dairy_product
wit	message
fondness	liking
crackles	noise
cannibal	savage
electric	car
gall	animal_disease
geared	adapt
recommended	propose
fizzle	noise
barriers	obstruction
matters	concern
theaters	building
posterity	biological_group
stanzas	text
blockbusters	general-purpose_bomb
attention	basic_cognitive_process
visit	meeting
denied	contradict
rake	libertine
hip-hop	youth_culture
integrates	compound
extent	degree
escapade	undertaking
rant	declamation
parent	genitor
fillers	sealing_material
intermediary	negotiator
fit	bad_temper
skins	body_covering
hush	silence
fix	difficulty
excites	arouse
rank	line
assumption	postulate
outlet	place_of_business
digs	excavation
deaths	change
addition	component
surf	wave
doubts	cognitive_state
barrow	containerful
embellished	overstate
buckaroo	cowboy
foibles	peculiarity
gang	association
ad	promotion
grow	change
excited	arouse
ai	agency
am	metallic_element
an	associate_degree
former	first
panic	fear
blowing	processing
muting	soften
as	chemical_element
at	chemical_element
haunted	pursue
interpretation	representation
dullness	stupidity
folk	people
looking	sensing
formed	make
hurt	ill_health
screwball	eccentric
hideousness	ugliness
reeked	suggest
ba	metallic_element
slugfest	fight
be	metallic_element
prove	be
bloodletting	medical_care
cherished	love
admire	respect
looney	lunatic
institutionalized	transfer
intimacy	friendliness
rape	mustard
notions	idea
fool	simpleton
experimentation	inquiry
popularity	quality
genre	kind
trickery	misrepresentation
ca	metallic_element
develops	create
tooth	bone
foot	vertebrate_foot
wills	faculty
enabling	change
cd	metallic_element
scoring	evaluation
charge	attack
keeping	conformity
familiar	servant
co	monoxide
regimented	control
gaps	disparity
food	substance
fly	dipterous_insect
partner	domestic_partner
scrawled	write
plunge	swimming
interview	interrogation
da	prosecutor
byzantine	asian
adobo	dish
tearjerker	narrative
scarf	garment
accomplishes	complete
scare	anxiety
gasp	inhalation
grub	fare
language	communication
do	party
woe	misery
fore	front
observe	spy
whooshing	move
strangeness	unusualness
payoffs	payment
protagonists	advocate
accomplished	complete
attacks	operation
equalizer	electronic_equipment
showtime	point
won	south_korean_monetary_unit
strictness	conscientiousness
criticism	disapproval
creativity	ability
needy	poor_people
wow	joke
liman	lagoon
ed	dysfunction
excruciating	pain
needs	condition
caricature	wit
coinage	currency
el	angular_position
em	area_unit
favored	promote
blight	devastation
goodies	nutriment
er	metallic_element
babbitt	alloy
phantom	spirit
usurp	take
piece	part
screams	cry
aspiration	ambition
vexing	displease
elephant	pachyderm
paycheck	check
jumbled	be
limbs	extremity
mortarboards	board
tears	bodily_process
whiff	gust
argentinian	south_american
loneliness	isolation
watching	look
twilight	hour
content	collection
enticing	provoke
attuned	adjust
plot	scheme
rate	magnitude_relation
alert	readiness
skill	ability
knockabout	sloop
rats	rodent
contend	claim
covers	covering
vistas	visual_percept
plod	walk
fuses	electrical_device
go	shift
atmospherics	noise
plastered	cover
syrup	sweetening
humanizing	change
rhythm	musical_time
chewing	change_of_state
tease	unwelcome_person
skims	covering
rash	eruption
fork	cutlery
dime	coin
blandness	unemotionality
form	word
quickie	repair
fused	change_integrity
self-expression	expressive_style
earplugs	earphone
ha	angular_distance
sedate	affect
wrestling	struggle
co-stars	star
he	chemical_element
orchestrated	score
limbo	obscurity
hi	greeting
placed	move
ho	metallic_element
welfare	aid
hyphenate	spell
flourish	gesture
foul	violation
relationships	relation
appeared	be
four	digit
context	discourse
collaborators	accessory
manipulation	influence
bathroom	room
ii	digit
plates	base
in	linear_unit
maturity	time_of_life
civics	social_science
dismissed	reject
iq	ratio
robustness	strength
audacity	boldness
it	engineering
schemes	plan_of_action
aimed	position
hustlers	prostitute
somebody	causal_agent
sadism	sexual_pleasure
lapses	mistake
talked	communicate
understated	inform
distraction	confusion
avengers	attacker
delusions	psychological_state
contrast	opposition
50s	large_integer
brittle	candy
annoying	mistreatment
become	change_state
affinity	attraction
recovering	get
gays	person
bottom-feeder	scavenger
eagerness	enthusiasm
fearlessness	feeling
subscription	payment
zips	relative_quantity
sparkling	change
whirl	movement
literature	writing
innuendoes	implication
sending	causing
ability	quality
belief	content
abyss	chasm
delight	pleasure
continuum	time
suggestion	idea
dips	depression
overrides	device
distracting	confuse
lantern	lamp
places	point
disposition	nature
la	metallic_element
otherness	difference
equals	person
le	autoimmune_disease
misunderstood	interpret
bailiwick	jurisdiction
trinity	digit
li	metallic_element
fun	diversion
accomplishment	action
crooned	sing
hicks	rustic
pants	underpants
purports	meaning
dreck	merchandise
while	time
photos	representation
overexposed	expose
swagger	itinerant
second	time_unit
suggests	declare
bypassing	avoid
picked	choose
documented	record
crooning	singing
limit	extent
communication	act
tolerance	endurance
contest	social_event
tinge	small_indefinite_quantity
alabama	south
turmoil	disturbance
niches	place
author	communicator
misfit	anomaly
possessed	have
feeling	state
charms	attractiveness
rekindle	kindle
plus	quality
expansion	increase
appetites	craving
entry	written_record
fuddy-duddy	conservative
license	legal_document
na	metallic_element
dream	imagination
dish	container
gaze	stare
possesses	police
noble	male_aristocrat
essay	writing
plug	blockage
warped	misrepresent
totalitarian	disciple
heat	energy
no	negative
treads	step
formalism	doctrine
houseboat	barge
legacy	gift
student	enrollee
terrorists	radical
ideology	orientation
seal	fastener
mixed	change_integrity
illusion	appearance
head	external_body_part
dialog	talk
whine	complaint
misunderstanding	interpretation
prozac	selective-serotonin_reuptake_inhibitor
heal	better
dive	cabaret
heap	collection
hear	perceive
rescue	recovery
occupied	work
avenues	approach
diva	opera_star
pushiness	assertiveness
slights	discourtesy
sports	diversion
os	orifice
flabbergasting	surprise
tendencies	attitude
families	unit
cousin	relative
newness	age
pa	father
pb	metallic_element
pc	digital_computer
perspectives	orientation
manipulating	influence
ricochets	recoil
communicating	act
sitting	motion
subversive	radical
nation	political_unit
rocket	vehicle
adaptation	writing
downfall	failure
determination	discovery
convenience	comfort
discipline	knowledge_domain
profanity	utterance
revulsion	disgust
morgen	area_unit
scarlet	red
fistfights	fight
pornography	creation
tongues	articulator
ripping	tear
hundreds	large_integer
expiry	end
blending	combination
brand	name
suspension	mixture
choke	coil
inevitable	destiny
veered	turn
insanity	mental_illness
consciousness	cognitive_state
bagatelle	musical_composition
frustration	disappointment
skyscraper	building
then	point
lagging	insulating_material
tightened	change
seat	space
veggie	produce
seas	body_of_water
re	metallic_element
bow-wow	bark
concepts	idea
adopt	choose
wander	travel
pastiche	musical_composition
fetishism	belief
bridge	structure
singular	form
commentary	statement
parodied	act
homosexuality	sexual_activity
belly	body_part
serenity	composure
discovered	spy
distracts	confuse
confection	dainty
crawls	motion
executed	kill
seek	movement
seen	perceive
sa	militia
seem	be
pileup	collision
compelled	induce
si	chemical_element
origins	point
grandstanding	perform
lecture	address
so	solfa_syllable
teenager	juvenile
intern	doctor
necessary	thing
starter	electric_motor
dampened	suppress
decision	choice
souls	spirit
closet	storage_space
chomp	eating
heed	attention
closes	end
monster	imaginary_being
closer	person
flower	angiosperm
dismantle	destroy
single	base_hit
compressed	wedge
fingered	touch
joins	connection
tv	broadcasting
commercial	ad
joint	body_part
separate	article
generations	people
endangered	exist
rules	concept
wheezing	breathe
biting	grip
loaded	fill
insignificance	unimportance
ambiguity	saying
capturing	represent
embracing	clasp
un	world_organization
military	force
up	increase
ut	time
alacrity	liveliness
tweaked	pinch
anarchy	disorder
carnage	murder
thin	change_state
cartoons	wit
sees	seat
failure	nonaccomplishment
a-list	list
know	knowing
bolster	pillow
heft	heaviness
suggesting	declare
preview	ad
sorority	club
populace	people
streamlined	contour
breakthrough	insight
imprint	influence
changes	happening
gag	wit
frustrating	prevent
swirling	revolve
filming	photography
cringe	move
examination	investigation
grownups	person
gap	disparity
gas	state_of_matter
creations	activity
slopped	move
overweight	fleshiness
gay	person
shriek	cry
veiling	net
slight	discourtesy
reading	linguistic_process
argue	present
directive	pronouncement
pedigree	genealogy
enactments	legislation
self-indulgence	indiscipline
veers	turn
talents	natural_ability
footnotes	note
bankrupt	failure
kidnapping	capture
exhibitionism	ostentation
courts	assembly
dragon	mythical_monster
type	kind
hell	region
april	gregorian_calendar_month
helm	steering_system
odyssey	journey
yi	loloish
meddles	intervene
scant	work
terms	status
proof	evidence
sympathizing	feel
surrounding	touch
quashed	oppress
encompasses	include
teams	unit
atrocities	inhumaneness
nails	horny_structure
contract	written_agreement
veracity	truthfulness
misfortune	trouble
iconography	picture
befuddling	be
insight	perception
readings	linguistic_process
revolutionary	radical
scrooge	hoarder
fabric	artifact
argot	non-standard_speech
exact	claim
unemployment	state
praying	commune
force	influence
splendor	brightness
confounded	be
surrounded	touch
gasps	inhalation
barbed	change
tools	implement
gem	art
gel	colloid
thrusts	force
hems	edge
sabotage	destruction
get	return
continues	act
resembling	match
course	education
sewing	handicraft
power	quality
semi	match
crooks	principal
nagging	complain
snaps	touch
vengefulness	malevolence
sell	sale
pickup	truck
sally	remark
naturalism	philosophical_doctrine
suspect	person
brain	neural_structure
transformation	change
thou	large_integer
sprinkled	discharge
help	activity
idling	inactivity
forcing	compel
depth	extent
endgame	end
self	consciousness
long-suffering	endurance
gasping	blow
exposition	interpretation
reminders	message
dress	woman
snail	gastropod
addresses	code
confounding	be
werewolf	mythical_monster
onion	bulb
sound	sound_property
harbor	port
translate	repeat
sales	income
impetus	force
healing	bodily_process
indignation	anger
gosling	goose
revitalize	better
strives	try
criminal	principal
creatures	organism
sensibilities	consciousness
stranded	abandon
enamored	attract
sent	estonian_monetary_unit
nightmare	situation
startle	reflex
porthole	window
purposes	goal
techniques	method
anatomical	saying
treasured	see
dissing	hurt
send	move
here	location
concrete	building_material
purpose	goal
challenges	situation
rejected	evaluate
regret	sadness
salvaged	rescue
snake	diapsid
scale	standard
thinkers	intellectual
hero	leader
candles	lamp
engaging	act
challenged	contest
omnibus	anthology
buck	horse
organize	make
salient	projection
observations	measurement
station	facility
iceberg	floater
disappointing	thwart
prose	writing_style
diverting	turn
shrill	shout
costs	reimbursement
factory	plant
smoke	aerosol
edges	boundary
follow	travel
intent	goal
factors	cause
contrasting	distinguish
plodding	labor
treats	nutriment
verges	boundary
daddy	father
conned	cheat
humdrum	unvariedness
skies	atmosphere
edged	advance
ounce	apothecaries
blighter	tormentor
celibacy	condition
platter	flatware
illustrating	elaborate
german	european
introduces	inform
teeming	hum
undergoing	change
recognized	accept
resemble	match
youth	juvenile
virgin	innocent
recruiting	register
assassins	murderer
captors	person
audience	gathering
reverie	dream
muck	matter
thus	gum
possess	police
silliness	folly
phantasms	spirit
devise	will
innovations	creation
thud	sound
recognizes	accept
bubbles	globule
much	large_indefinite_quantity
chapter	section
tadpole	larva
entitled	empower
poise	unit_of_viscosity
sights	optical_instrument
omits	extinguish
misery	ill-being
tosses	throw
alienating	change
miscalculation	mistake
maelstrom	current
boosted	raise
lights	actinic_radiation
resolved	end
committed	act
sets	collection
bumps	injury
revisionism	bolshevism
give-and-take	speech
revisionist	communist
freshman	lowerclassman
veins	blood_vessel
adage	saying
arch	curve
returned	travel
wrap	cloak
buff	follower
novel	fiction
posing	motion
a-team	team
prominence	standing
standard	system_of_measurement
reports	document
badness	quality
illuminating	lighten
correct	change_by_reversal
goo	matter
reader	scholar
grosses	large_integer
institution	organization
quandaries	difficulty
injustices	wrongdoing
ambition	desire
delinquent	wrongdoer
aspirations	ambition
avert	prevent
contributed	change
singers	musician
area	region
murder	homicide
manifestation	appearance
posits	proposition
reworking	work
european	inhabitant
mugs	containerful
hews	carve
fuels	substance
alienation	dislike
moisture	wetness
contributes	change
lack	need
bouncing	recoil
toast	bread
success	happening
ingenuity	creativity
authority	control
simmering	cooking
shocking	surprise
batting	attempt
exhilarating	elate
illogic	quality
young	animal
jangle	sound
leafing	growth
decomposition	vector_algebra
fetching	transmit
self-absorption	preoccupation
steaming	travel
eloquence	expressive_style
fluidity	thinness
paintings	graphic_art
infiltrated	percolate
standardized	regulate
lodging	structure
illumination	condition
xtc	methylenedioxymethamphetamine
evolution	process
portrait	word_picture
clamoring	cry
adoring	love
namesake	person
acidity	taste_property
redemption	rescue
complaint	disorder
pinnacle	steeple
battlefield	tract
lady	woman
ethos	attribute
magazine	press
slimed	dirty
inject	administer
amassed	increase
debating	consider
remakes	creation
t-shirt	shirt
pocket	pouch
suffocating	kill
named	label
neglects	inattention
injustice	wrongdoing
indifference	unconcern
considered	think
channel	transmission
enervating	weaken
focus	concentration
cutter	quarryman
delivered	talk
groaner	person
entire	male_horse
approach	conceptualization
flashes	happening
homophobia	bias
doting	senesce
exaggeration	trope
lags	delay
borrows	get
palestinian	arab
tremors	vibration
thesis	premise
bump	injury
cameo	anaglyph
write	create_verbally
curling	game
dripping	flow
musical	movie
suffocation	killing
loyalty	fidelity
dismiss	reject
classroom	room
picnic	vacation
underlying	be
verisimilitude	semblance
heaven	region
upbeat	prosperity
suspended	hang
intelligence	ability
winner	contestant
reclaiming	get
million	large_integer
captivating	attract
ambience	condition
arrogance	pride
erotic	sensualist
shadows	shade
bulk	number
appearing	attendance
despair	condition
bull	cattle
champion	rival
gum	sweet
gun	weapon
balding	turn
wait	pause
hundred	large_integer
circuit	electrical_device
queen	insect
artefact	whole
gut	internal_organ
guy	man
potshots	shooting
chords	straight_line
dysfunction	pathology
waif	child
buoy	reference_point
native	person
smothered	cover
wail	complaint
misconceived	interpret
documentary	movie
tempted	invite
cutoffs	limit
laid	move
consequence	phenomenon
gothic	east_germanic
dominant	note
heading	line
discussed	cover
worrying	harassment
opportunities	possibility
lampoon	caricature
jammies	nightwear
jaded	devolve
lingering	delay
framework	hypothesis
names	defamation
artworks	visual_communication
messenger	traveler
xxx	large_integer
slathered	spread
chronicle	record
possibilities	expectation
tonight	present
predecessors	precursor
franchise	concession
tabloid	journalism
classicism	artistic_style
amnesiac	handicapped_person
supernatural	causal_agent
sustained	continue
suits	garment
associate	peer
detract	reduce
wake	consequence
tics	twitch
whipping	beating
compendium	publication
sneak	unpleasant_person
counting	investigation
executives	administrator
void	nonexistence
ritual	custom
dispense	give
liability	susceptibility
swan	aquatic_bird
sway	power
tick	sound
basis	foundation
affected	change
pleasures	feeling
complexities	quality
arms	instrumentality
basic	programming_language
twist	development
lake	body_of_water
flounders	flatfish
dislocation	interruption
raptures	emotional_state
nuance	meaning
sneers	contempt
bush	woody_plant
bearded	rim
in-joke	joke
muse	greek_deity
combat	battle
units	definite_quantity
restoring	regenerate
mush	mass
drooling	covet
sacrificed	release
unity	state
murk	atmosphere
choreography	dancing
eviction	compulsion
pursue	act
tier	rank
ties	neckwear
busy	work
convey	impart
extra	actor
u-boat	submersible
land	real_property
bust	failure
lane	way
sacrifices	act
burn	pain
sleaziness	dishonorableness
tied	fasten
performing	activity
sandbox	mold
outbursts	expression
automatic	automatic_firearm
encyclopedia	reference_book
conduct	activity
melodramas	comedy
salvos	outburst
burr	pericarp
wall	partition
walk	locomotion
lame	simpleton
stinks	smell
marred	damage
refusing	react
culled	get_rid_of
riled	displease
botches	mistake
offbeat	rhythm
marry	unite
dimwits	simpleton
decay	natural_process
styled	name
discussion	communication
irrigates	wet
crowds	gathering
unleashed	let_go_of
imbued	penetrate
bates	control
lessen	change_magnitude
botched	fail
championship	high_status
camaraderie	sociability
thinks	deliberation
arrangements	planning
welcome	acceptance
unleashes	let_go_of
events	psychological_feature
chaos	confusion
mankind	group
edited	change
earns	get
want	poverty
geniality	friendliness
uncover	show
induce	generate
wane	decline
difference	quality
baffle	plate
must	necessity
styles	property
circle	ellipse
butt	stock
estranged	take_out
sophisticated	educate
discarded	get_rid_of
reside	populate
ward	person
hitting	touch
chase	motion
raving	declamation
colors	flag
accident	mishap
sophisticates	adult
found	wage
aficionados	sports_fan
defense	military_action
chasm	opening
hispanic	american
knight	male_aristocrat
lark	new_world_oriole
arts	discipline
limits	extent
cruelty	maltreatment
beating	fight
fanatics	enthusiast
affability	friendliness
refresh	remember
intimate	friend
combining	union
religion	belief
tragedy	misfortune
charm	attractiveness
ghosts	apparition
contrived	create_by_mental_act
mulls	promontory
evoke	make
crudity	wild
till	soil
antagonism	state
waged	contend
shovel	hand_tool
voting	choice
goods	advantage
forsaken	leave
screenplay	script
lynch	kill
jolts	blow
wasp	protestant
school	educational_institution
ham	cut_of_pork
things	property
hat	headdress
passages	change_of_state
has	angular_distance
sameness	quality
residences	address
brush	vegetation
unlock	open
last	end
happenstance	accident
trapped	confine
waxes	lipid
weighs	measure
groaners	person
wash	water-base_paint
batch	collection
weight	physical_property
preserves	confiture
warn	inform
warm	change
measure	maneuver
transcendence	being
chalk	calcite
wars	military_action
updated	modify
swim	water_sport
prank	folly
physique	bodily_property
commune	administrative_district
impossible	impossibility
effort	activity
mends	sewing
bullock	bull
bolero	dance_music
showdown	disagreement
harshness	roughness
video	visual_communication
updates	news
vegetables	produce
wave	movement
yesterday	day
sugarcoated	sweeten
cocktail	mixed_drink
genres	kind
ends	extremity
denying	contradict
characterisations	description
steady	lover
vote	choice
disrespected	relate
disease	illness
yes	affirmative
loathe	hate
raccoons	fur
disposable	item
colour	material
alternating	change
clarity	comprehensibility
disobedience	insubordination
pop-up	book
time	case
highs	degree
horrifying	frighten
buzz	sound
sniping	hunt
analgesic	medicine
governments	polity
stoops	inclination
hem	edge
zoning	division
grandness	standing
circus	company
granddad	grandparent
odour	sensation
desiccated	preserve
molested	assail
torpedo	murderer
okay	sanction
aggravating	change
russian	native
lesson	teaching
thumbing	ride
nonfiction	prose
philosophy	belief
slope	geological_formation
dawdle	move
doubles	badminton
chiaroscuro	picture
niche	place
diatribes	denunciation
worship	activity
lawn	field
flinging	throw
emphasizes	express
scooping	remove
tourism	commercial_enterprise
merits	worth
smart	pain
triangle	polygon
layer	artifact
alien	traveler
nicks	blemish
beaches	geological_formation
tomatoes	solanaceous_vegetable
ways	structure
bullfighters	person
emphasized	express
confusing	mistake
smash	blow
ledger	record
rigors	difficulty
editor	skilled_worker
grasping	understanding
chain	series
chair	seat
quirkiness	unfamiliarity
randomness	physical_property
reverse	opposition
sword	weapon
deleting	remove
garden	plot
immersed	penetrate
lays	song
small	body_part
tits	mammary_gland
rhino	odd-toed_ungulate
fiction	literary_composition
shallows	body_of_water
hip	body_part
bruin	bear
temptations	influence
hit	feat
playwright	writer
schmucks	jerk
suavity	graciousness
emphasis	importance
beat	path
bear	carnivore
grandfather	grandparent
potential	possibility
bean	legume
psyche	cognition
tapping	sound
bruised	injure
lounge	seat
resist	elude
shouting	encouragement
history	past
searing	heat
stimulate	affect
square	rectangle
camps	military_quarters
vectors	variable
interference	foreign_policy
muddled	roil
psycho	sick_person
anarchist	radical
misconstrued	interpret
beck	gesture
devolves	delegate
values	belief
reveals	show
steals	purchase
mushes	mass
point	component
debut	beginning
polished	fancify
neurotics	sick_person
robberies	larceny
sounds	sound_property
attachment	affection
slivers	bit
alias	name
portuguese	romance
hospital	medical_building
dimension	magnitude
wildlife	life
chen	bird_genus
deserve	be
exude	excrete
restore	regenerate
inventiveness	creativity
fugitive	person
alternative	decision_making
crowded	move
hankies	piece_of_cloth
meal	nutriment
debts	indebtedness
gushing	pour
throwaway	street_urchin
mean	average
meat	food
re-create	make
chew	morsel
nominated	nominate
pedestrian	traveler
ferret	musteline_mammal
romeo	lover
numbing	desensitize
jumps	increase
advance	change_of_location
appreciate	acknowledge
mothers	parent
homogenized	equal
denouements	result
killer	person
reflects	indicate
beer	brew
bees	hymenopterous_insect
limitations	rule
delighted	satisfy
opportunity	possibility
court	assembly
distort	misrepresent
bestowing	award
misuse	use
trimmings	accessory
deals	transaction
dealt	broach
lumbering	trade
natives	person
corpse	body
lured	provoke
organ	body_part
begs	plead
depict	represent
perennial	plant
shiver	reflex
hop	jump
vanity	pride
hos	metallic_element
characteristic	property
libido	sexual_desire
interior	region
opportunism	selfishness
epicenter	geographic_point
assembly	machine
handiwork	work
bully	attacker
lurches	gait
testosterone	androgen
chin	feature
whimsicality	irresponsibility
endeavors	undertaking
subjects	message
vietnamese	asian
dragged	pull
hibernation	torpor
march	gregorian_calendar_month
blast	fly
rehearsals	exercise
popped	change_shape
advantages	asset
answer	statement
meet	athletic_contest
calls	telephone
underscore	stroke
boilerplate	formulation
paeans	praise
restored	regenerate
wizard	expert
aging	organic_process
misplaced	put
passions	feeling
abused	treat
celebrity	important_person
negated	deviate
spangle	adornment
putting	golf_stroke
questions	questioning
corpus	capital
promise	commitment
playboy	hedonist
overstating	misinform
pinheads	simpleton
waffle	cake
antics	diversion
leaner	throw
undernourished	feed
ignored	treat
zeroes	relative_quantity
perpetrated	act
afterthought	reversal
count	number
hrs	time_unit
failings	imperfection
gobble	cry
outlandishness	unfamiliarity
vision	imagination
rawness	damp
ripening	organic_process
blame	accusation
70s	large_integer
cadences	poetic_rhythm
confusion	disorder
personalities	attribute
carrying	move
auditorium	area
blank	character
stein	mug
operas	classical_music
waiting	inactivity
beginning	happening
evocation	imagination
skewering	pin
partisans	advocate
exposes	exposure
exposed	subject
bloody	cover
notice	announcement
preordained	predetermine
rambling	continue
transfigures	change
mythologizing	fabricate
rumblings	noise
michael	archangel
tomfoolery	play
spectacular	performance
hue	color_property
decades	time_period
winks	moment
diplomat	official
hug	embrace
bedtime	hour
sleaze	tastelessness
president	corporate_executive
benjamins	gum_resin
ransom	cost
lector	clergyman
reaches	limit
simulation	model
shivers	reflex
dropped	move
artifice	maneuver
tracking	pursuit
glued	attach
kitten	young_mammal
melt	heating
religions	belief
action	act
lurks	hide
nonconformist	protestant
electrocute	kill
gauge	measuring_instrument
soundtrack	sound_recording
energizing	activity
chou	dynasty
belt	loop
suspected	guess
chop	physical_phenomenon
undercut	material
sensitive	psychic
blockage	physical_condition
fantasia	musical_composition
fires	happening
afford	spend
dustbin	bin
explored	investigate
asks	communicate
impression	idea
sieve	strainer
nonconformity	disagreement
acting	activity
careening	walk
floppy	magnetic_disk
explores	investigate
stymied	prevent
granger	creator
deliver	talk
recapitulation	growth
headed	proceed
phenomenon	process
obsession	irrational_motive
kibosh	prevent
eight	digit
products	commodity
broadside	ad
trailer	idler
pained	hurt
sensibility	consciousness
boomer	person
degenerates	reprobate
grandiosity	expressive_style
expressiveness	quality
dullard	simpleton
travail	parturition
illness	ill_health
topics	message
strike	job_action
bent	inclination
smack	blow
gaudy	banquet
menu	bill
culmination	phase
radar	measuring_instrument
interviewees	respondent
trusted	believe
incinerates	burn_down
teddy	plaything
misfiring	fail
workplace	geographic_point
leavened	raise
codes	written_communication
forged	beat
cheapen	worsen
conscience	ethical_motive
shootouts	fight
banquet	dinner
british	nation
thrill	exhilaration
blade	leaf
radio	broadcasting
irreverence	attitude
solution	mixture
berg	floater
mourns	grieve
international	socialism
calculated	reason
jolly	party
citizen	national
cities	municipality
accepts	evaluate
crackle	noise
sooner	american
steps	stairway
dentist	medical_practitioner
friends	person
eroded	decay
professor	academician
dubbed	name
meow	cry
forges	furnace
troupe	organization
strengths	property
principles	generalization
present	time
weber	flux_unit
curtain	blind
problems	difficulty
belong	be
transgression	wrongdoing
borders	boundary
rat-a-tat	tapping
surveys	examination
best	attempt
movements	change
mess	disorderliness
frat	club
allusions	mention
narcotized	drug
transform	change
ayatollah	religious_leader
attracting	pull
rooted	grow
steamboat	boat
shocker	bad_person
probing	investigate
immune	person
churns	vessel
pretended	misrepresent
snuck	walk
stern	rear
shocked	surprise
master	artist
attraction	force
traffics	collection
crapulence	intemperance
puzzle	problem
hypocrisy	pretense
mere	pond
drawling	pronounce
gremlins	fairy
ballerinas	ballet_dancer
splatter	noise
impacting	wedge
originality	ability
trims	neatness
moralizing	philosophizing
blockbuster	general-purpose_bomb
vices	evil
theatre	building
cover	covering
reflect	indicate
restatement	statement
massacre	murder
outpaces	surpass
edits	change
lobotomy	psychosurgery
bungle	mistake
runner	criminal
obsessive	neurotic
adventures	undertaking
temporal	semantic_role
hawaiian	oceanic
backdrop	scenery
underdog	failure
zap	event
whippersnappers	cipher
intention	goal
pointed	inform
rudd	cyprinid
impulse	motivation
crystallize	shape
profundities	wisdom
religious	religious_person
shower	plumbing_fixture
saturday	weekday
fact	information
contradicts	deviate
grandparents	forebear
reacting	act
melting	heating
fret	agitation
reshaping	determine
self-determination	autonomy
oddballs	anomaly
pieces	part
swooping	descend
monotony	unvariedness
fade	golf_stroke
conniving	assent
mermaid	imaginary_being
christian	religious_person
free	people
schoolgirl	female_child
rebellion	resistance
reaction	chemical_process
babes	child
faked	re-create
wavers	communicator
bothers	perturbation
weary	indispose
wears	deterioration
propelled	move
knitting	needlework
monotone	intonation
raindrop	drop
evolve	create_by_mental_act
face	external_body_part
stagnation	inaction
tripe	variety_meat
household	unit
invite	invitation
coordinated	arrange
ratio	magnitude_relation
refugees	exile
instinct	aptitude
ice	crystal
shrug	gesture
hairline	line
independence	freedom
honors	symbol
melancholy	sadness
spike	electrical_discharge
presentation	ceremony
glimmer	flash
ruin	devastation
commands	speech_act
colonialism	exploitation
streamed	float
zen	buddhism
piffle	nonsense
spill	liquid
revealing	speech_act
alienated	change
please	satisfy
armenian	asian
replacing	substitution
finding	discovery
plumbing	utility
bursts	change_of_integrity
extends	increase
laboratory	workplace
judging	decision_making
staring	look
salvage	commodity
rewards	consequence
jostling	shove
gulp	swallow
overuse	exploitation
airhead	simpleton
amateur	person
daredevils	adventurer
resentment	hostility
poem	literary_composition
screenwriters	scriptwriter
poet	writer
sneeze	reflex
heavyweights	boxer
checkout	inspection
shave	depilation
rapids	waterway
propaganda	information
inferior	follower
catapulting	propel
calculating	reason
commend	praise
spine	skeletal_structure
theology	discipline
icons	symbol
sands	seashore
guitar	stringed_instrument
imaginary	number
spins	rotation
comment	statement
americanized	change
portrays	represent
summertime	season
quirks	unfamiliarity
poetics	literary_study
guns	weapon
confronting	meet
fair	show
cinematographer	photographer
peroxide	oxidant
droning	intonation
critic	professional
slavery	subjugation
dresses	woman
potboiler	literary_composition
downplaying	inform
zip	relative_quantity
profession	occupational_group
arise	become
huskies	working_dog
keening	express_emotion
dressed	change
hammers	striker
cornpone	cornbread
cynics	unpleasant_person
doors	movable_barrier
wines	alcohol
spectrum	array
emperor	sovereign
snowball	sand_verbena
heartbreak	sorrow
diner	eater
triumphs	ending
church	religion
boiled	change_state
iii	digit
classical	music_genre
isolated	discriminate
pictures	representation
gimmick	drawback
ineptitude	unskillfulness
nick	blemish
fall	season
finishes	decorativeness
explains	inform
overshadowed	brood
undergo	change
delineate	show
homework	school_assignment
contrivance	device
idiocy	retardation
siege	blockade
exhaustion	fatigue
abstract	concept
upsets	agitation
dawns	hour
deep-sixed	discard
gutter	channel
paints	coating
appearance	quality
culture	society
fake	imitation
runs	score
first	rank
embellishment	expansion
wince	facial_expression
guru	religious_leader
nuances	meaning
perfect	tense
sanctimony	hypocrisy
roman	italian
to-do	disorder
exhausting	tire
conspiracy	agreement
spite	malevolence
theater	building
harmed	injure
nephew	kinsman
poky	correctional_institution
litmus	acid-base_indicator
perversity	unruliness
spits	cape
drawers	underpants
insights	perception
ill	disorder
ilk	kind
finished	end
rejection	act
spinning	handicraft
doctorate	academic_degree
goosebumps	reflex
dignified	honor
predicament	difficulty
fame	honor
tossed	fling
pond	lake
death	change
steal	purchase
deportment	trait
advice	proposal
according	match
powder	solid
error	nonaccomplishment
mishandled	fail
attendant	assistant
stylized	represent
swashbucklers	adventurer
paper	material
winds	weather
ruffle	adornment
complicity	guilt
steam	vapor
endeavour	undertaking
colored	black
camouflage	semblance
value	numerical_quantity
guts	fortitude
annex	addition
tinged	affect
listening	sensing
ruse	maneuver
subtitles	translation
enforced	compel
liberalism	political_orientation
haunting	pursue
fortune	phenomenon
acolytes	clergyman
lampoons	caricature
tricks	device
staged	re-create
rush	motion
fans	device
ins	agency
subtitled	supply
creeping	locomotion
stages	time_period
fleeing	scat
growth	organic_process
sweating	bodily_process
weave	design
fare	agenda
sweetheart	lover
texan	american
objects	physical_entity
shakes	building_material
scenarios	script
shaken	move
resolution	document
